Point ID,density,Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
42,1,0.000172376,-0.00178986,0.999998,1,-48,0,-1.30149,48.0176,-8.81976e-06,3.3176e-07,5.6121e-06,1.04592e-05
43,1,0.000172376,-0.00178986,0.999998,1,-48,0,-1.30149,48.0176,-8.81976e-06,3.3176e-07,5.6121e-06,1.04592e-05
44,1,0.000373859,-0.00179748,0.999998,1,-47,0,-1.30164,47.018,1.53457e-05,3.8958e-07,5.57919e-06,1.63331e-05
45,1,0.000373859,-0.00179748,0.999998,1,-47,0,-1.30164,47.018,1.53457e-05,3.8958e-07,5.57919e-06,1.63331e-05
46,1,0.000777671,-0.00180563,0.999998,1,-46,0,-1.30215,46.0184,3.94614e-05,4.55575e-07,5.47426e-06,3.98419e-05
47,1,0.000777671,-0.00180563,0.999998,1,-46,0,-1.30215,46.0184,3.94614e-05,4.55575e-07,5.47426e-06,3.98419e-05
48,1,0.00118608,-0.00181534,0.999998,1,-45,0,-1.30303,45.0189,6.34881e-05,5.1963e-07,5.29801e-06,6.37109e-05
49,1,0.00118608,-0.00181534,0.999998,1,-45,0,-1.30303,45.0189,6.34881e-05,5.1963e-07,5.29801e-06,6.37109e-05
50,1,0.00160188,-0.00182555,0.999997,1,-44,0,-1.30427,44.0193,8.73885e-05,5.9079e-07,5.04444e-06,8.7536e-05
51,1,0.00160188,-0.00182555,0.999997,1,-44,0,-1.30427,44.0193,8.73885e-05,5.9079e-07,5.04444e-06,8.7536e-05
52,1,0.00202792,-0.00183736,0.999996,1,-43,0,-1.30588,43.0198,0.00011112,6.62748e-07,4.71766e-06,0.000111222
53,1,0.00202792,-0.00183736,0.999996,1,-43,0,-1.30588,43.0198,0.00011112,6.62748e-07,4.71766e-06,0.000111222
54,1,0.00246754,-0.00184946,0.999995,1,-42,0,-1.30787,42.0204,0.000134645,7.42117e-07,4.313e-06,0.000134716
55,1,0.00246754,-0.00184946,0.999995,1,-42,0,-1.30787,42.0204,0.000134645,7.42117e-07,4.313e-06,0.000134716
56,1,0.00292441,-0.00186303,0.999994,1,-41,0,-1.31027,41.0209,0.000157912,8.25006e-07,3.83263e-06,0.00015796
57,1,0.00292441,-0.00186303,0.999994,1,-41,0,-1.31027,41.0209,0.000157912,8.25006e-07,3.83263e-06,0.00015796
58,1,0.00340285,-0.00187688,0.999992,1,-40,0,-1.31307,40.0215,0.000180882,9.14943e-07,3.27152e-06,0.000180914
59,1,0.00340285,-0.00187688,0.999992,1,-40,0,-1.31307,40.0215,0.000180882,9.14943e-07,3.27152e-06,0.000180914
60,1,0.00390807,-0.00189205,0.999991,1,-39,0,-1.31631,39.0222,0.000203498,1.01039e-06,2.63668e-06,0.000203517
61,1,0.00390807,-0.00189205,0.999991,1,-39,0,-1.31631,39.0222,0.000203498,1.01039e-06,2.63668e-06,0.000203517
62,1,0.00444469,-0.00190742,0.999988,1,-38,0,-1.32001,38.0229,0.000225718,1.11409e-06,1.9224e-06,0.000225729
63,1,0.00444469,-0.00190742,0.999988,1,-38,0,-1.32001,38.0229,0.000225718,1.11409e-06,1.9224e-06,0.000225729
64,1,0.00501926,-0.00192377,0.999986,1,-37,0,-1.3242,37.0237,0.000247476,1.22705e-06,1.12978e-06,0.000247481
65,1,0.00501926,-0.00192377,0.999986,1,-37,0,-1.3242,37.0237,0.000247476,1.22705e-06,1.12978e-06,0.000247481
66,1,0.00564163,-0.00193961,0.999982,1,-36,0,-1.32892,36.0245,0.000268739,1.34969e-06,2.5091e-07,0.000268743
67,1,0.00564163,-0.00193961,0.999982,1,-36,0,-1.32892,36.0245,0.000268739,1.34969e-06,2.5091e-07,0.000268743
68,1,0.00632287,-0.00195625,0.999978,1,-35,0,-1.3342,35.0254,0.000289455,1.48467e-06,-7.0424e-07,0.000289459
69,1,0.00632287,-0.00195625,0.999978,1,-35,0,-1.3342,35.0254,0.000289455,1.48467e-06,-7.0424e-07,0.000289459
70,1,0.00706995,-0.00197199,0.999973,1,-34,0,-1.34012,34.0264,0.000309641,1.63113e-06,-1.71447e-06,0.00030965
71,1,0.00706995,-0.00197199,0.999973,1,-34,0,-1.34012,34.0264,0.000309641,1.63113e-06,-1.71447e-06,0.00030965
72,1,0.0078736,-0.00198779,0.999967,1,-33,0,-1.34672,33.0275,0.000329279,1.79221e-06,-2.74666e-06,0.000329295
73,1,0.0078736,-0.00198779,0.999967,1,-33,0,-1.34672,33.0275,0.000329279,1.79221e-06,-2.74666e-06,0.000329295
74,1,0.0086962,-0.00200197,0.99996,1,-32,0,-1.35404,32.0286,0.000348281,1.96719e-06,-3.78055e-06,0.000348307
75,1,0.0086962,-0.00200197,0.99996,1,-32,0,-1.35404,32.0286,0.000348281,1.96719e-06,-3.78055e-06,0.000348307
76,1,0.00946414,-0.00201591,0.999953,1,-31,0,-1.36208,31.0299,0.000366371,2.16143e-06,-4.87557e-06,0.00036641
77,1,0.00946414,-0.00201591,0.999953,1,-31,0,-1.36208,31.0299,0.000366371,2.16143e-06,-4.87557e-06,0.00036641
78,1,0.00999979,-0.00202942,0.999948,1,-30,0,-1.37074,30.0313,0.00038356,2.37214e-06,-5.94047e-06,0.000383613
79,1,0.00999979,-0.00202942,0.999948,1,-30,0,-1.37074,30.0313,0.00038356,2.37214e-06,-5.94047e-06,0.000383613
80,1,0.00988888,-0.00204864,0.999949,1,-29,0,-1.37971,29.0328,0.000399528,2.60726e-06,-6.73755e-06,0.000399593
81,1,0.00988888,-0.00204864,0.999949,1,-29,0,-1.37971,29.0328,0.000399528,2.60726e-06,-6.73755e-06,0.000399593
82,1,0.00846081,-0.00208314,0.999962,1,-28,0,-1.38816,28.0344,0.000412261,2.87041e-06,-7.83448e-06,0.000412345
83,1,0.00846081,-0.00208314,0.999962,1,-28,0,-1.38816,28.0344,0.000412261,2.87041e-06,-7.83448e-06,0.000412345
84,1,0.00517046,-0.00216718,0.999984,1,-27,0,-1.39459,27.036,0.000416328,3.18833e-06,-1.28331e-05,0.000416537
85,1,0.00517046,-0.00216718,0.999984,1,-27,0,-1.39459,27.036,0.000416328,3.18833e-06,-1.28331e-05,0.000416537
86,1,0.000413422,-0.0022956,0.999997,1,-26,0,-1.39725,26.0375,0.000403185,3.63324e-06,-2.56757e-05,0.000404018
87,1,0.000413422,-0.0022956,0.999997,1,-26,0,-1.39725,26.0375,0.000403185,3.63324e-06,-2.56757e-05,0.000404018
88,1,-0.00347844,-0.00244112,0.999991,1,-25,0,-1.39531,25.0389,0.000363328,4.22466e-06,-3.44281e-05,0.00036498
89,1,-0.00347844,-0.00244112,0.999991,1,-25,0,-1.39531,25.0389,0.000363328,4.22466e-06,-3.44281e-05,0.00036498
90,1,-0.000690607,-0.00252279,0.999997,1,-24,0,-1.39113,24.0403,0.000299318,5.92225e-06,-1.74627e-05,0.000299886
91,1,-0.000690607,-0.00252279,0.999997,1,-24,0,-1.39113,24.0403,0.000299318,5.92225e-06,-1.74627e-05,0.000299886
92,1,0.00818341,-0.00312876,0.999962,1,-23,0,-1.3941,23.0422,0.000284998,6.13864e-06,1.79458e-05,0.000285628
93,1,0.00818341,-0.00312876,0.999962,1,-23,0,-1.3941,23.0422,0.000284998,6.13864e-06,1.79458e-05,0.000285628
94,1,0.0132963,-0.0024719,0.999909,1,-22,0,-1.4055,22.0449,0.000318999,2.02305e-05,3.03579e-05,0.000321078
95,1,0.0132963,-0.0024719,0.999909,1,-22,0,-1.4055,22.0449,0.000318999,2.02305e-05,3.03579e-05,0.000321078
96,1,0.0216561,-0.00204889,0.999763,1,-21,0,-1.41747,21.0478,0.000290208,4.7777e-06,1.68252e-05,0.000290735
97,1,0.0216561,-0.00204889,0.999763,1,-21,0,-1.41747,21.0478,0.000290208,4.7777e-06,1.68252e-05,0.000290735
98,1,0.060751,-0.00343643,0.998147,1,-20,0,-1.44368,20.052,0.000229524,8.36576e-06,1.32172e-05,0.000230056
99,1,0.060751,-0.00343643,0.998147,1,-20,0,-1.44368,20.052,0.000229524,8.36576e-06,1.32172e-05,0.000230056
100,1,0.178913,-0.00335486,0.983859,1,-19,0,-1.52569,19.0612,0.000175631,1.14697e-05,1.44488e-05,0.000176597
101,1,0.178913,-0.00335486,0.983859,1,-19,0,-1.52569,19.0612,0.000175631,1.14697e-05,1.44488e-05,0.000176597
104,1,0.485435,-0.000379634,0.874272,1,-18,0,-1.77953,18.0878,9.79376e-05,7.84811e-06,7.02965e-06,9.85027e-05
40,1,0.531071,0.00374046,0.847319,1,-17.7135,0,-2,17.826,8.09383e-05,4.449e-06,1.00765e-05,8.16844e-05
102,1,0.531071,0.00374046,0.847319,1,-17.7135,0,-2,17.826,8.09383e-05,4.449e-06,1.00765e-05,8.16844e-05
103,1,0.531071,0.00374046,0.847319,1,-17.7135,0,-2,17.826,8.09383e-05,4.449e-06,1.00765e-05,8.16844e-05
24,1,0.658301,0.0170523,0.752562,1,-17,0,-2.66731,17.208,9.77278e-06,-2.5722e-06,4.28372e-05,4.40131e-05
20,1,0.652162,-0.000528559,0.75808,1,-16.5301,0,-3,16.8001,8.7472e-06,-5.47522e-06,6.68329e-05,6.76249e-05
22,1,0.652162,-0.000528556,0.75808,1,-16.5301,0,-3,16.8001,8.7472e-06,-5.47522e-06,6.68329e-05,6.76249e-05
23,1,0.652162,-0.000528556,0.75808,1,-16.5301,0,-3,16.8001,8.7472e-06,-5.47522e-06,6.68329e-05,6.76249e-05
4,1,0.644168,-0.0107583,0.764808,1,-16,0,-3.52656,16.384,6.93257e-06,7.62506e-06,0.000127701,0.000128116
5,1,0.644168,-0.0107583,0.764808,1,-16,0,-3.52656,16.384,6.93257e-06,7.62506e-06,0.000127701,0.000128116
2,1,0.23042,-0.00528376,0.973077,1,-15.1941,0,-4,15.7118,-3.00474e-06,-2.24391e-06,-7.71616e-06,8.5792e-06
3,1,0.23042,-0.00528376,0.973077,1,-15.1941,0,-4,15.7118,-3.00474e-06,-2.24391e-06,-7.71616e-06,8.5792e-06
0,1,0.106646,-0.0120235,0.994224,1,-15,0,-4.11968,15.5554,-1.69195e-06,-5.92913e-06,-3.62473e-05,3.6768e-05
6,1,-0.184131,-0.00491191,0.982889,1,-14.7105,0,-4,15.2447,5.22249e-06,4.10225e-06,-8.43727e-05,8.46336e-05
7,1,-0.737466,0.00365387,0.675375,1,-14,0,-3.68234,14.4762,2.46581e-05,9.06927e-06,-0.000161289,0.000163415
8,1,-0.737466,0.00365387,0.675375,1,-14,0,-3.68234,14.4762,2.46581e-05,9.06927e-06,-0.000161289,0.000163415
9,1,-0.737466,0.00365387,0.675375,1,-14,0,-3.68234,14.4762,2.46581e-05,9.06927e-06,-0.000161289,0.000163415
10,1,-0.737466,0.00365387,0.675375,1,-14,0,-3.68234,14.4762,2.46581e-05,9.06927e-06,-0.000161289,0.000163415
25,1,-0.657333,-0.00329734,0.753593,1,-13.4924,0,-3,13.8219,4.55932e-06,-2.73326e-05,-8.23972e-05,8.69319e-05
26,1,-0.547131,-0.00832237,0.837006,1,-13,0,-2.59052,13.2556,-2.71245e-06,-4.53957e-06,-2.9251e-05,2.97252e-05
27,1,-0.547131,-0.00832237,0.837006,1,-13,0,-2.59052,13.2556,-2.71245e-06,-4.53957e-06,-2.9251e-05,2.97252e-05
28,1,-0.547131,-0.00832237,0.837006,1,-13,0,-2.59052,13.2556,-2.71245e-06,-4.53957e-06,-2.9251e-05,2.97252e-05
29,1,-0.322385,-0.00761432,0.946578,1,-12,0,-2.15253,12.1915,-4.27587e-05,5.35527e-06,1.64972e-05,4.61427e-05
30,1,-0.322385,-0.00761432,0.946578,1,-12,0,-2.15253,12.1915,-4.27587e-05,5.35527e-06,1.64972e-05,4.61427e-05
105,1,-0.247809,-0.00716217,0.968782,1,-11.4291,0,-2,11.6028,-6.59043e-05,-3.33968e-07,3.05399e-05,7.26373e-05
106,1,-0.200141,-0.00679076,0.979743,1,-11,0,-1.89692,11.1624,-8.23243e-05,-5.30901e-06,3.94018e-05,9.1422e-05
107,1,-0.200141,-0.00679076,0.979743,1,-11,0,-1.89692,11.1624,-8.23243e-05,-5.30901e-06,3.94018e-05,9.1422e-05
108,1,-0.200141,-0.00679076,0.979743,1,-11,0,-1.89692,11.1624,-8.23243e-05,-5.30901e-06,3.94018e-05,9.1422e-05
109,1,-0.120701,-0.0056986,0.992673,1,-10,0,-1.74995,10.152,-0.000103078,1.44916e-05,3.19869e-05,0.000108895
110,1,-0.120701,-0.0056986,0.992673,1,-10,0,-1.74995,10.152,-0.000103078,1.44916e-05,3.19869e-05,0.000108895
111,1,-0.0614245,-0.00646942,0.998091,1,-9,0,-1.67165,9.15393,-9.84915e-05,2.33675e-06,3.6911e-05,0.000105207
112,1,-0.0614245,-0.00646942,0.998091,1,-9,0,-1.67165,9.15393,-9.84915e-05,2.33675e-06,3.6911e-05,0.000105207
113,1,-0.020153,-0.0074522,0.999769,1,-8,0,-1.63875,8.16612,-9.3691e-05,1.47743e-06,2.75777e-05,9.76766e-05
114,1,-0.020153,-0.0074522,0.999769,1,-8,0,-1.63875,8.16612,-9.3691e-05,1.47743e-06,2.75777e-05,9.76766e-05
115,1,0.0111384,-0.00650658,0.999917,1,-7,0,-1.63572,7.18857,-7.7018e-05,2.37117e-06,2.89194e-05,8.23027e-05
116,1,0.0111384,-0.00650658,0.999917,1,-7,0,-1.63572,7.18857,-7.7018e-05,2.37117e-06,2.89194e-05,8.23027e-05
117,1,0.0330036,-0.00735485,0.999428,1,-6,0,-1.6586,6.22503,-5.97289e-05,1.33853e-06,1.28296e-05,6.11059e-05
118,1,0.0330036,-0.00735485,0.999428,1,-6,0,-1.6586,6.22503,-5.97289e-05,1.33853e-06,1.28296e-05,6.11059e-05
119,1,0.0440685,-0.00795675,0.998997,1,-5,0,-1.69454,5.27934,-4.00375e-05,-1.11062e-05,1.04855e-05,4.28521e-05
120,1,0.0440685,-0.00795675,0.998997,1,-5,0,-1.69454,5.27934,-4.00375e-05,-1.11062e-05,1.04855e-05,4.28521e-05
121,1,0.0450769,-0.00615531,0.998965,1,-4,0,-1.73793,4.36124,-3.20575e-05,-6.12903e-06,2.80012e-05,4.30037e-05
122,1,0.0450769,-0.00615531,0.998965,1,-4,0,-1.73793,4.36124,-3.20575e-05,-6.12903e-06,2.80012e-05,4.30037e-05
123,1,0.0371037,-0.00585631,0.999294,1,-3,0,-1.7762,3.48639,-1.24564e-05,1.30729e-06,2.82334e-05,3.08868e-05
124,1,0.0371037,-0.00585631,0.999294,1,-3,0,-1.7762,3.48639,-1.24564e-05,1.30729e-06,2.82334e-05,3.08868e-05
125,1,0.0305103,-0.00738855,0.999507,1,-2,0,-1.80581,2.69462,-6.48285e-06,2.33046e-06,2.64021e-05,2.7286e-05
126,1,0.0305103,-0.00738855,0.999507,1,-2,0,-1.80581,2.69462,-6.48285e-06,2.33046e-06,2.64021e-05,2.7286e-05
127,1,0.0203381,-0.0060873,0.999775,1,-1,0,-1.83235,2.08747,-6.33742e-09,2.07734e-05,3.84254e-05,4.36811e-05
128,1,0.0203381,-0.0060873,0.999775,1,-1,0,-1.83235,2.08747,-6.33742e-09,2.07734e-05,3.84254e-05,4.36811e-05
